#,Scenario ID,Title,Service Code,Domain,Schemas,Brief (the moment),KPI / Outcome,Featured?,Device(s)
159,hls-medication-reconciliation,Medication reconciliation,HLS-E2E-02,Clinical Care,,"Cross-source medication reconciliation at admission, transfer, discharge.",−28% med errors,Catalog,
160,hls-medication-adherence-prediction,Medication-adherence prediction,HLS-E2E-06,Pricing & Revenue,,Non-adherence risk prediction with pharmacist-outreach triggers.,+14pp MPR,Catalog,
161,hls-member-churn-prediction-payer,Member-churn prediction (payer),HLS-E2E-06,Pricing & Revenue,,Employer-group and individual-member churn risk scoring.,−11% churn,Catalog,
162,hls-never-event-prevention,Never-event prevention,HLS-E2E-02,Clinical Care,,"Wrong-site, wrong-procedure, wrong-patient risk flagging.",−82% never-events,Catalog,
163,hls-nps-driver-analysis,NPS-driver analysis,HLS-E2E-02,Clinical Care,,NPS-survey verbatim analysis with driver-specific action.,+18pt NPS,Catalog,
164,hls-nurse-staffing-forecasting,Nurse-staffing forecasting,HLS-E2E-02,Clinical Care,,Unit-level staffing forecast with acuity-based adjustment.,+11% staffing accuracy,Catalog,
165,hls-opioid-prescribing-risk-flag,Opioid-prescribing risk flag,HLS-E2E-02,Clinical Care,,CDC-guideline and MME risk flagging at point of prescribing.,−34% high-risk scripts,Catalog,
166,hls-or-scheduling-optimization,OR scheduling optimization,HLS-E2E-02,Clinical Care,,Block-time optimization with surgeon preference and historical overruns.,+14% OR utilization,Catalog,
167,hls-or-kit-inventory-optimization,OR-kit inventory optimization,HLS-E2E-02,Clinical Care,,Per-procedure OR-kit usage and par-level optimization.,−22% OR kit cost,Catalog,
168,hls-patient-outreach-scheduling,Patient-outreach scheduling,HLS-E2E-06,Pricing & Revenue,,Multi-channel outreach-scheduling optimization.,+14pp engagement,Catalog,
169,hls-patient-payment-propensity,Patient-payment propensity,HLS-E2E-06,Pricing & Revenue,,Payment-likelihood scoring for collection-strategy routing.,+14% collections,Catalog,
170,hls-patient-support-program-analytics,Patient-support-program analytics,HLS-LS-03,Marketing & Growth,,PSP-touchpoint effectiveness and enrollment optimization.,+18pp adherence,Catalog,
171,hls-payer-contract-variance-tracking,Payer-contract-variance tracking,HLS-E2E-06,Pricing & Revenue,,Real-time detection of payer underpayment vs contracted rate.,+$6.1M recovery,Catalog,
172,hls-pdmp-integration-workflow,PDMP-integration workflow,HLS-E2E-02,Clinical Care,,Automated PDMP check and documentation at prescribing.,−82% manual lookup,Catalog,
173,hls-pharmacy-inventory-optimization,Pharmacy-inventory optimization,HLS-E2E-02,Clinical Care,,Drug-specific inventory and shortage-prediction analytics.,−14% carrying cost,Catalog,
174,hls-post-market-surveillance,Post-market-surveillance,HLS-LS-03,Marketing & Growth,,Real-world-evidence synthesis for ongoing device safety surveillance.,+24% signal-detection speed,Catalog,
175,hls-ppe-demand-forecasting,PPE-demand forecasting,HLS-E2E-02,Clinical Care,,PPE demand modeling with surge-event triggers.,+22% forecast accuracy,Catalog,
176,hls-premium-pricing-analysis,Premium-pricing analysis,HLS-E2E-06,Pricing & Revenue,,Actuarial premium-pricing support with utilization modeling.,+1.8pp margin,Catalog,
177,hls-pressure-injury-prediction,Pressure-injury prediction,HLS-E2E-02,Clinical Care,,Predictive pressure-injury scoring with preventive-protocol triggers.,−31% pressure injuries,Catalog,
178,hls-preventive-screening-outreach,Preventive-screening outreach,HLS-E2E-06,Pricing & Revenue,,Gap-based preventive-screening outreach with channel personalization.,+24pp screening,Catalog,
179,hls-price-estimate-accuracy,Price-estimate accuracy,HLS-E2E-06,Pricing & Revenue,,Good-faith-estimate accuracy for transparency-in-coverage compliance.,100% GFE compliance,Catalog,
180,hls-prior-authorization-automation,Prior authorization automation,HLS-E2E-04,Clinical Care,,Evidence-assembly and criteria-mapping for specialty prior auths.,−58% cycle time,⭐ Featured,
181,hls-privacy-breach-detection,Privacy-breach detection,HLS-E2E-02,Clinical Care,,EHR-access anomaly detection for privacy-breach identification.,+24% earlier detection,Catalog,
182,hls-promotional-compliance-monitoring,Promotional-compliance monitoring,HLS-LS-03,Marketing & Growth,,Rep-material and channel-compliance monitoring.,−82% violations,Catalog,
183,hls-protocol-deviation-prediction,Protocol-deviation prediction,HLS-LS-03,Marketing & Growth,,Site- and subject-level deviation-risk scoring.,−34% deviations,Catalog,
184,hls-provider-credentialing-automation,Provider-credentialing automation,HLS-E2E-06,Pricing & Revenue,,Credentialing-packet automation and expiration tracking.,−58% cycle time,Catalog,
185,hls-provider-network-adequacy-analysis,Provider-network-adequacy analysis,HLS-E2E-06,Pricing & Revenue,,Gap-analysis for regulatory and member-experience adequacy.,100% adequacy coverage,Catalog,
186,hls-publication-impact-tracking,Publication-impact tracking,HLS-LS-03,Marketing & Growth,,Publication and citation tracking for institutional research impact.,+24% impact visibility,Catalog,
187,hls-readmission-risk-prediction,Readmission-risk prediction,HLS-E2E-02,Clinical Care,,30-day readmission risk scoring with transitional-care triggers.,−21% readmits,Catalog,
188,hls-regulatory-submission-drafting,Regulatory-submission drafting,HLS-LS-03,Marketing & Growth,,Module-2 summary drafting with source-document traceability.,−41% submission time,Catalog,
189,hls-remote-monitoring-alert-triage,Remote-monitoring alert triage,HLS-E2E-02,Clinical Care,,RPM-alert triage reducing clinician alert fatigue.,−62% false-positive alerts,Catalog,
190,hls-research-grant-matching,Research-grant matching,HLS-LS-03,Marketing & Growth,,Investigator-to-grant matching across funding opportunities.,+18% grant hit rate,Catalog,
191,hls-sales-rep-next-best-action,Sales-rep next-best-action,HLS-LS-03,Marketing & Growth,,"HCP-level rep suggestion balancing reach, frequency, and message.",+14% call effectiveness,Catalog,
192,hls-sentinel-event-root-cause-analysis,Sentinel-event root-cause analysis,HLS-E2E-02,Clinical Care,,Structured RCA with similar-event retrieval.,−42% recurrence,Catalog,
193,hls-sepsis-early-warning,Sepsis early warning,HLS-E2E-02,Clinical Care,,Deterioration model detecting sepsis 4+ hours pre-clinical recognition.,−18% sepsis mortality,Catalog,
194,hls-site-feasibility-scoring,Site-feasibility scoring,HLS-LS-03,Marketing & Growth,,Multi-factor site scoring for trial placement.,+18% enrollment rate,Catalog,
195,hls-social-determinants-mapping,Social-determinants mapping,HLS-E2E-06,Pricing & Revenue,,Geo-demographic and claims-signal SDOH risk surfacing.,+18% referral relevance,Catalog,
196,hls-specialty-pharmacy-performance,Specialty-pharmacy performance,HLS-LS-03,Marketing & Growth,,SP-network performance tracking with adherence interventions.,+11pp fill rate,Catalog,
197,hls-star-rating-improvement,Star-rating improvement,HLS-E2E-06,Pricing & Revenue,,MA Star-measure gap identification with closure prioritization.,+0.4 star improvement,Catalog,
198,hls-supply-chain-variance-analytics,Supply-chain-variance analytics,HLS-E2E-06,Pricing & Revenue,,Clinical-supply variance detection with root-cause hypotheses.,−$4M/yr variance,Catalog,
199,hls-surgical-case-type-classification,Surgical case-type classification,HLS-E2E-02,Clinical Care,,Automated case-type classification for coding and equipment prep.,+14% OR prep accuracy,Catalog,
200,hls-surgical-instrument-tracking,Surgical-instrument tracking,HLS-E2E-02,Clinical Care,,Instrument-tracking with sterilization-lifecycle monitoring.,−34% tray turnover time,Catalog,
201,hls-target-identification,Target identification,HLS-LS-03,Marketing & Growth,,Target-evidence synthesis from genomics and literature.,+14% candidate yield,Catalog,
202,hls-transfer-of-care-handoff,Transfer-of-care handoff,HLS-E2E-02,Clinical Care,,Structured handoff summaries across care transitions.,−34% handoff errors,Catalog,
203,hls-transitions-of-care-orchestration,Transitions-of-care orchestration,HLS-E2E-06,Pricing & Revenue,,Post-acute transition coordination reducing readmission risk.,−18% readmits,Catalog,
204,hls-underpayment-recovery-analytics,Underpayment-recovery analytics,HLS-E2E-06,Pricing & Revenue,,Automated detection and recovery of payer-underpayment patterns.,+$4.8M recovery,Catalog,
205,hls-virtual-visit-triage,Virtual-visit triage,HLS-E2E-02,Clinical Care,,"Pre-visit triage routing between virtual, in-person, or self-care.",+14% virtual-visit utilization,Catalog,
206,hls-wearable-data-integration,Wearable-data integration,HLS-E2E-02,Clinical Care,,Consented-wearable data integration into care plan monitoring.,+18% engagement,Catalog,
207,hls-wellness-program-enrollment-targeting,Wellness-program enrollment targeting,HLS-E2E-06,Pricing & Revenue,,Propensity-based wellness-program enrollment outreach.,+22pp enrollment,Catalog,
208,er-ami-data-quality-management,AMI-data-quality management,ER-PU-04,Network & Infrastructure,,Smart-meter data-quality detection and reconciliation.,+14pp data quality,Catalog,
209,er-artificial-lift-optimization,Artificial-lift optimization,ER-OG-03,Operations & Workforce,,Multi-pump artificial-lift performance and switch-trigger optimization.,+9% production,Catalog,
210,er-asset-transfer-reconciliation,Asset-transfer reconciliation,ER-OG-03,Operations & Workforce,,Inter-company and field-to-field asset-transfer reconciliation.,−$1.8M variance,Catalog,
211,er-battery-storage-dispatch,Battery-storage dispatch,ER-PU-04,Network & Infrastructure,,Grid-storage dispatch optimization for arbitrage and reliability.,+22% storage revenue,Catalog,
212,er-bill-anomaly-detection,Bill-anomaly detection,ER-PU-04,Network & Infrastructure,,Customer-bill anomaly flagging for proactive inquiry.,−41% billing complaints,Catalog,
213,er-blast-fragmentation-analysis,Blast-fragmentation analysis,ER-MN-02,Operations & Workforce,,Post-blast fragmentation analysis for drill-and-blast optimization.,+7% mill throughput,Catalog,
214,er-blending-optimization,Blending optimization,ER-OG-05,Operations & Workforce,,Multi-grade blend optimization with spec-quality constraint.,+$8M/yr giveaway,Catalog,
215,er-boiler-tube-failure-prediction,Boiler-tube-failure prediction,ER-PU-04,Network & Infrastructure,,Predictive detection of boiler-tube failures from operating data.,+18% uptime,Catalog,
216,er-carbon-accounting-and-reporting,Carbon-accounting and reporting,ER-OG-03,Operations & Workforce,,Automated Scope 1/2/3 carbon accounting with regulatory reporting.,100% audit-ready,Catalog,
217,er-carbon-credit-verification,Carbon-credit verification,ER-PU-04,Network & Infrastructure,,"Automated carbon-credit MRV (measurement, reporting, verification).",+18% verification speed,Catalog,
218,er-catalyst-performance-prediction,Catalyst-performance prediction,ER-OG-05,Operations & Workforce,,Catalyst-activity forecasting for changeout-timing optimization.,+6% cycle length,Catalog,
219,er-cathodic-protection-anomaly-detection,Cathodic-protection anomaly detection,ER-OG-07,Asset Maintenance,,CP-system anomaly detection with corrosion-risk scoring.,−28% corrosion events,Catalog,
220,er-compressor-performance-optimization,Compressor-performance optimization,ER-OG-07,Asset Maintenance,,Compressor-performance optimization for fuel-efficiency.,−6% fuel cost,Catalog,
221,er-compressor-station-uptime,Compressor-station uptime,ER-OG-07,Asset Maintenance,,Predictive maintenance for compressor stations.,+14% uptime,Catalog,
222,er-confined-space-entry-compliance,Confined-space-entry compliance,ER-OG-03,Operations & Workforce,,Permit-and-monitoring compliance for confined-space operations.,100% compliance,Catalog,
223,er-contract-compliance-monitoring,Contract-compliance monitoring,ER-OG-03,Operations & Workforce,,Automated contract-term compliance monitoring.,+22% compliance,Catalog,
224,er-contractor-safety-performance,Contractor-safety performance,ER-OG-03,Operations & Workforce,,Contractor SSHE performance tracking.,−28% incidents,Catalog,
225,er-cooling-water-intake-monitoring,Cooling-water intake monitoring,ER-PU-04,Network & Infrastructure,,Biological-intrusion and thermal-compliance intake monitoring.,100% compliance,Catalog,
226,er-crude-selection-optimization,Crude-selection optimization,ER-OG-05,Operations & Workforce,,Market-spread and unit-constraint-aware crude selection.,+$11M/yr margin,Catalog,
227,er-customer-churn-prediction-utility,Customer-churn prediction (utility),ER-PU-04,Network & Infrastructure,,Retail-energy customer churn prediction.,−14% churn,Catalog,
228,er-customer-service-contact-center-utility,Customer-service contact-center (utility),ER-PU-04,Network & Infrastructure,,Agent co-pilot for utility contact center.,−22% AHT,Catalog,
229,er-der-distributed-energy-resource-integration,DER (distributed energy resource) integration,ER-PU-04,Network & Infrastructure,,DER-aware grid operation with hosting-capacity analysis.,+24% DER hosting,Catalog,
230,er-distribution-outage-triage,Distribution outage triage,ER-PU-04,Network & Infrastructure,,Storm-mode restoration triage with CMI optimization.,−22% MTTR,⭐ Featured,
231,er-drill-and-blast-productivity,Drill-and-blast productivity,ER-MN-02,Operations & Workforce,,Drill-and-blast productivity analytics.,+11% productivity,Catalog,
232,er-drilling-rig-performance-optimization,Drilling-rig performance optimization,ER-OG-02,Asset Maintenance,,ROP and downhole tool optimization across rig fleet.,−14% drill-cycle time,Catalog,
233,er-emergency-response-readiness,Emergency-response readiness,ER-OG-03,Operations & Workforce,,"Drill, training, and resource-readiness tracking.",+22pp readiness,Catalog,
234,er-emissions-compliance-continuous-monitoring,Emissions-compliance continuous monitoring,ER-PU-04,Network & Infrastructure,,CEMS data integrity and regulatory-reporting automation.,100% CEMS uptime,Catalog,
235,er-energy-efficiency-program-enrollment,Energy-efficiency-program enrollment,ER-PU-04,Network & Infrastructure,,Propensity-based enrollment targeting for EE programs.,+24pp enrollment,Catalog,
236,er-environmental-compliance-monitoring,Environmental compliance monitoring,ER-MN-02,Operations & Workforce,,Permit-condition real-time compliance monitoring.,−67% violations,⭐ Featured,
237,er-equipment-utilization-mining-fleet,Equipment-utilization (mining fleet),ER-MN-02,Operations & Workforce,,Haul-truck and loader utilization analytics.,+14% utilization,Catalog,
238,er-esp-electric-submersible-pump-failure-prediction,ESP (electric submersible pump) failure prediction,ER-OG-03,Operations & Workforce,,Motor-current signature-based ESP failure prediction.,+22% ESP runlife,Catalog,
239,er-flare-gas-recovery,Flare-gas recovery,ER-OG-05,Operations & Workforce,,Flare-gas recovery optimization with economic routing.,−28% flaring,Catalog,
240,er-flaring-reduction-analytics,Flaring-reduction analytics,ER-OG-03,Operations & Workforce,,"Flare-gas reduction with routing, compression, and gas-capture analytics.",−34% flaring volume,Catalog,
241,er-frac-completion-performance,Frac-completion performance,ER-OG-02,Asset Maintenance,,Multi-well completion design optimization from post-frac performance.,+7% EUR,Catalog,
242,er-fuel-inventory-optimization,Fuel-inventory optimization,ER-PU-04,Network & Infrastructure,,Coal and gas fuel-inventory optimization with delivery-schedule alignment.,−$4M/yr carrying cost,Catalog,
243,er-gas-composition-analysis-compliance,Gas-composition-analysis compliance,ER-OG-07,Asset Maintenance,,Gas composition analysis for tariff and spec compliance.,100% spec compliance,Catalog,
244,er-gas-lift-compressor-monitoring,Gas-lift compressor monitoring,ER-OG-03,Operations & Workforce,,Compressor-health monitoring with predictive failure alerts.,+11% uptime,Catalog,
245,er-generation-unit-dispatch,Generation-unit dispatch,ER-PU-04,Network & Infrastructure,,Unit-commitment optimization across fleet with market signals.,+2.4% dispatch margin,Catalog,
246,er-grid-frequency-stability,Grid-frequency stability,ER-PU-04,Network & Infrastructure,,Real-time frequency-stability monitoring with control action triggers.,−34% frequency events,Catalog,
247,er-haul-truck-route-optimization,Haul-truck-route optimization,ER-MN-02,Operations & Workforce,,Haul-cycle-time optimization with fleet-balancing.,+8% production,Catalog,
248,er-heat-exchanger-fouling-prediction,Heat-exchanger fouling prediction,ER-OG-05,Operations & Workforce,,Fouling-prediction with cleaning-window optimization.,+2.1% thermal efficiency,Catalog,
249,er-hot-work-permit-management,Hot-work-permit management,ER-OG-03,Operations & Workforce,,Digital hot-work permit with conflict-detection.,−42% incidents,Catalog,
250,er-hydroelectric-reservoir-management,Hydroelectric reservoir management,ER-PU-04,Network & Infrastructure,,Multi-objective hydro dispatch with water-balance constraints.,+2.4% dispatch revenue,Catalog,
251,er-lease-operator-route-optimization,Lease-operator route optimization,ER-OG-03,Operations & Workforce,,Multi-well route optimization with priority and risk weighting.,+14% well visits/day,Catalog,
252,er-line-loss-reduction,Line-loss reduction,ER-PU-04,Network & Infrastructure,,Distribution loss analytics with intervention targeting.,−1.2% line loss,Catalog,
253,er-load-forecast-accuracy-improvement,Load-forecast accuracy improvement,ER-PU-04,Network & Infrastructure,,Weather and behind-the-meter-aware load forecasting.,+14pp forecast accuracy,Catalog,
254,er-loading-rack-scheduling,Loading-rack scheduling,ER-OG-07,Asset Maintenance,,Truck and rail loading-rack scheduling optimization.,+22% throughput,Catalog,
255,er-logistics-provider-performance,Logistics-provider performance,ER-OG-03,Operations & Workforce,,3PL and transport-provider scorecard analytics.,+14% on-time,Catalog,
256,er-lone-worker-safety,Lone-worker safety,ER-OG-03,Operations & Workforce,,Lone-worker location and check-in automation.,+38% response speed,Catalog,
257,er-loss-of-primary-containment-prediction,Loss-of-primary-containment prediction,ER-OG-03,Operations & Workforce,,LOPC risk-factor scoring with preventive-maintenance targeting.,−34% LOPC events,Catalog,
258,er-m-a-target-screening,M&A target-screening,ER-OG-02,Asset Maintenance,,"Geologic, technical, and financial M&A target screening.",+14% hit rate,Catalog,
259,er-mill-throughput-optimization,Mill-throughput optimization,ER-MN-02,Operations & Workforce,,Comminution-circuit throughput optimization.,+6% mill throughput,Catalog,
260,er-near-miss-trend-analysis,Near-miss-trend analysis,ER-OG-03,Operations & Workforce,,Near-miss pattern detection for leading-indicator insight.,−24% incidents,Catalog,
261,er-net-metering-reconciliation,Net-metering reconciliation,ER-PU-04,Network & Infrastructure,,Automated net-metering reconciliation and dispute resolution.,−62% disputes,Catalog,
262,er-offshore-wind-maintenance-routing,Offshore-wind-maintenance routing,ER-PU-04,Network & Infrastructure,,Weather-aware vessel and technician routing for offshore wind.,+18% maintenance windows,Catalog,
263,er-ore-grade-control,Ore-grade control,ER-MN-02,Operations & Workforce,,Real-time ore-grade control and blending decisions.,+4.2% grade recovery,Catalog,
264,er-outage-restoration-sequencing,Outage-restoration sequencing,ER-PU-04,Network & Infrastructure,,Multi-crew restoration sequencing for CMI minimization.,−18% CMI,Catalog,
265,er-payment-arrangement-optimization,Payment-arrangement optimization,ER-PU-04,Network & Infrastructure,,Payment-plan personalization with arrears-reduction targeting.,+18% arrears recovery,Catalog,
266,er-permit-to-work-compliance,Permit-to-work compliance,ER-OG-03,Operations & Workforce,,Automated P-t-W workflow with conflict and JSA verification.,+18pp compliance,Catalog,
267,er-pipeline-leak-detection,Pipeline leak detection,ER-OG-07,Asset Maintenance,,Fiber-optic DAS and SCADA fusion for sub-percent leak detection.,−41% unplanned shutdowns,⭐ Featured,
268,er-pipeline-integrity-inspection-routing,Pipeline-integrity inspection routing,ER-OG-07,Asset Maintenance,,Risk-based inline-inspection routing and prioritization.,+28% risk-adjusted coverage,Catalog,
269,er-pipeline-odorant-injection-monitoring,Pipeline-odorant-injection monitoring,ER-OG-07,Asset Maintenance,,Odorant injection monitoring for LDC compliance.,100% regulatory compliance,Catalog,
270,er-pipeline-throughput-capacity-planning,Pipeline-throughput capacity planning,ER-OG-07,Asset Maintenance,,Network-capacity planning with nomination and flow-constraint modeling.,+8% throughput capacity,Catalog,
271,er-plant-performance-benchmarking,Plant-performance benchmarking,ER-PU-04,Network & Infrastructure,,Peer and historical plant performance benchmarking.,+1.8% heat rate,Catalog,
272,er-predictive-wellhead-maintenance,Predictive wellhead maintenance,ER-OG-03,Operations & Workforce,,Rod-pump predictive maintenance from SCADA and dyno cards.,+18% uptime,⭐ Featured,
273,er-process-safety-management-leading-indicators,Process-safety-management leading indicators,ER-OG-03,Operations & Workforce,,PSM-leading-indicator aggregation and trend analysis.,+24% preventive interventions,Catalog,
274,er-processing-plant-recovery-optimization,Processing-plant recovery optimization,ER-MN-02,Operations & Workforce,,"Recovery-circuit optimization across comminution, flotation, and dewatering.",+2.8pp recovery,Catalog,
275,er-procurement-spend-analytics,Procurement-spend analytics,ER-OG-03,Operations & Workforce,,Spend classification and category-level savings identification.,−8% indirect spend,Catalog,
276,er-production-allocation,Production-allocation,ER-OG-03,Operations & Workforce,,Multi-well production allocation with constraint-aware optimization.,+2.4% allocated production,Catalog,
277,er-production-chemical-optimization,Production-chemical optimization,ER-OG-03,Operations & Workforce,,"Dosage optimization for scale, corrosion, and paraffin chemicals.",−14% chemical cost,Catalog,
278,er-program-enrollment-targeting,Program-enrollment targeting,ER-PU-04,Network & Infrastructure,,Multi-program enrollment-propensity scoring.,+14pp participation,Catalog,
279,er-pump-station-optimization,Pump-station optimization,ER-OG-07,Asset Maintenance,,Pump-scheduling optimization for throughput and energy cost.,−11% energy cost,Catalog,
280,er-refinery-yield-optimization,Refinery yield optimization,ER-OG-05,Operations & Workforce,,APC-assisted yield optimization with real-time setpoint recommendations.,+1.8% yield,⭐ Featured,
281,er-renewable-ppa-pricing-analytics,Renewable-PPA pricing analytics,ER-PU-04,Network & Infrastructure,,PPA-structure optimization with price-risk modeling.,+1.8% PPA revenue,Catalog,
282,er-reservoir-production-forecasting,Reservoir-production forecasting,ER-OG-02,Asset Maintenance,,Multi-scenario reservoir production forecasting.,+11pp forecast accuracy,Catalog,
283,er-revenue-protection-theft-detection,Revenue-protection (theft detection),ER-PU-04,Network & Infrastructure,,AMI-based energy-theft detection.,+$6M/yr recovery,Catalog,
284,er-solar-farm-yield-optimization,Solar-farm yield optimization,ER-PU-04,Network & Infrastructure,,"Soiling, shading, and inverter-performance analytics.",+3.1% energy yield,Catalog,
285,er-solar-panel-soiling-detection,Solar-panel soiling detection,ER-PU-04,Network & Infrastructure,,Soiling detection and cleaning-schedule optimization.,+2.2% yield,Catalog,
286,er-spare-parts-inventory-optimization,Spare-parts-inventory optimization,ER-OG-03,Operations & Workforce,,Critical-spare inventory with criticality-based pooling.,−22% carrying cost,Catalog,
287,er-steam-balance-optimization,Steam-balance optimization,ER-OG-05,Operations & Workforce,,Site-wide steam-balance optimization.,−8% steam cost,Catalog,
288,er-storage-terminal-inventory,Storage-terminal inventory,ER-OG-07,Asset Maintenance,,Terminal-inventory reconciliation with movement-anomaly detection.,−$2.4M variance,Catalog,
289,er-storm-prep-crew-staging,Storm-prep crew staging,ER-PU-04,Network & Infrastructure,,Pre-event crew and material staging optimization.,−24% restoration time,Catalog,
290,er-substation-asset-health,Substation-asset health,ER-PU-04,Network & Infrastructure,,Transformer and substation asset health monitoring.,+22% asset life,Catalog,
291,er-tailings-dam-monitoring,Tailings-dam monitoring,ER-MN-02,Operations & Workforce,,Geotech and piezometer monitoring for tailings-dam stability.,−82% failure risk,Catalog,
292,er-tanker-scheduling-optimization,Tanker-scheduling optimization,ER-OG-07,Asset Maintenance,,Tanker berthing and scheduling optimization at marine terminals.,−14% demurrage,Catalog,
293,er-thermal-plant-heat-rate-optimization,Thermal-plant heat-rate optimization,ER-PU-04,Network & Infrastructure,,Heat-rate optimization from operating-data fusion.,−1.4% heat rate,Catalog,
294,er-time-of-use-rate-plan-analysis,Time-of-use rate-plan analysis,ER-PU-04,Network & Infrastructure,,Customer-specific TOU rate-plan recommendation.,+8% bill-optimization,Catalog,
295,er-tower-overhead-corrosion-prediction,Tower-overhead-corrosion prediction,ER-OG-05,Operations & Workforce,,Corrosion-rate prediction with neutralizer-dosing optimization.,+14% equipment life,Catalog,
296,er-transformer-load-forecasting,Transformer-load forecasting,ER-PU-04,Network & Infrastructure,,Transformer-level load forecasting for capacity-planning.,+18% capacity utilization,Catalog,
297,er-turbine-blade-wear-assessment,Turbine-blade-wear assessment,ER-PU-04,Network & Infrastructure,,Turbine-condition monitoring for inspection-window optimization.,+22% inspection efficiency,Catalog,
298,er-turnaround-planning-optimization,Turnaround-planning optimization,ER-OG-05,Operations & Workforce,,Turnaround-scope optimization with risk-based prioritization.,−$18M turnaround cost,Catalog,
299,er-valve-station-remote-monitoring,Valve-station remote monitoring,ER-OG-07,Asset Maintenance,,Remote-station anomaly detection and response.,−38% unplanned responses,Catalog,
300,er-vegetation-management-prioritization,Vegetation-management prioritization,ER-PU-04,Network & Infrastructure,,LiDAR and outage-history-based vegetation-management scheduling.,−34% vegetation outages,Catalog,
301,er-ventilation-system-optimization,Ventilation-system optimization,ER-MN-02,Operations & Workforce,,Mine-ventilation optimization for safety and energy efficiency.,−14% ventilation energy,Catalog,
302,er-venting-emission-detection,Venting-emission detection,ER-OG-03,Operations & Workforce,,Fugitive emission detection from sensor networks and satellite.,−42% methane emissions,Catalog,
303,er-voltage-regulation-optimization,Voltage-regulation optimization,ER-PU-04,Network & Infrastructure,,Volt/VAR optimization across distribution network.,−2.1% distribution loss,Catalog,
304,er-wastewater-treatment-optimization,Wastewater-treatment optimization,ER-OG-05,Operations & Workforce,,WWT-plant operation optimization with compliance buffers.,−22% treatment cost,Catalog,
305,er-water-handling-optimization,Water-handling optimization,ER-OG-03,Operations & Workforce,,Produced-water handling and disposal-cost optimization.,−18% water cost,Catalog,
306,er-well-spacing-optimization,Well-spacing optimization,ER-OG-02,Asset Maintenance,,Geology and production-history-aware spacing decisions.,+6% EUR/well,Catalog,
307,er-wildfire-ignition-risk-prediction,Wildfire-ignition risk prediction,ER-PU-04,Network & Infrastructure,,Asset- and weather-aware wildfire-ignition risk scoring.,−52% ignition risk,Catalog,
308,er-wind-power-forecasting,Wind-power forecasting,ER-PU-04,Network & Infrastructure,,High-resolution wind-power forecasting.,+14pp forecast accuracy,Catalog,
309,er-wind-turbine-blade-inspection,Wind-turbine-blade inspection,ER-PU-04,Network & Infrastructure,,Drone and IR imagery-based turbine-blade condition analytics.,+11% availability,Catalog,
310,er-worker-fatigue-monitoring,Worker-fatigue monitoring,ER-OG-03,Operations & Workforce,,Shift-pattern and biometric fatigue-risk monitoring.,−41% fatigue incidents,Catalog,
311,axle-8d-report-drafting,8D-report drafting,AXLE-QMS-02,Quality & Compliance,,Automated 8D-report drafting from incident data and prior reports.,−62% report time,Catalog,
312,axle-ad-sb-compliance-tracking,AD/SB compliance tracking,AXLE-QMS-02,Quality & Compliance,,Airworthiness-directive compliance tracking.,100% compliance,Catalog,
313,axle-air-emission-monitoring,Air-emission monitoring,AXLE-Ops-03,Operations & Workforce,,Stack-emission monitoring and regulatory reporting.,100% regulatory compliance,Catalog,
314,axle-aircraft-part-serialization,Aircraft-part serialization,AXLE-QMS-02,Quality & Compliance,,Serialized-part-lifecycle tracking.,100% traceability,Catalog,
315,axle-andon-signal-root-cause-analysis,Andon-signal root-cause analysis,AXLE-Ops-03,Operations & Workforce,,Andon-signal pattern analysis with root-cause hypothesis.,−28% recurrence,Catalog,
316,axle-assembly-sequence-optimization,Assembly-sequence optimization,AXLE-Ops-03,Operations & Workforce,,Assembly-line sequence optimization minimizing variance and rework.,+8% throughput,Catalog,
317,axle-bill-of-material-rationalization,Bill-of-material rationalization,AXLE-Ops-03,Operations & Workforce,,BoM complexity-reduction through commonality analysis.,−$6.8M material cost,Catalog,
318,axle-cad-file-metadata-tagging,CAD-file metadata tagging,AXLE-Ops-03,Operations & Workforce,,Automated CAD-file metadata and classification.,+28% search accuracy,Catalog,
319,axle-capa-tracking-and-effectiveness,CAPA tracking and effectiveness,AXLE-QMS-02,Quality & Compliance,,CAPA closure tracking with effectiveness-verification.,+22% effectiveness,Catalog,
320,axle-capital-project-roi-tracking,Capital-project-ROI tracking,AXLE-Ops-03,Operations & Workforce,,Capital-project post-audit and ROI tracking.,+14% ROI capture,Catalog,
321,axle-changeover-time-reduction,Changeover-time reduction,AXLE-Ops-03,Operations & Workforce,,SMED-aware changeover optimization from historical analysis.,−24% changeover,Catalog,
322,axle-chemical-exposure-tracking,Chemical-exposure tracking,AXLE-Ops-03,Operations & Workforce,,Employee chemical-exposure tracking and TLV compliance.,+24pp compliance,Catalog,
323,axle-cnc-spindle-failure-prediction,CNC-spindle failure prediction,AXLE-Connected-Factory-01,Asset Maintenance,,Spindle-vibration-based failure prediction.,+22% runlife,Catalog,
324,axle-compressed-air-leak-detection,Compressed-air-leak detection,AXLE-Ops-03,Operations & Workforce,,Ultrasonic and pressure-signature leak detection.,−22% compressed-air cost,Catalog,
325,axle-condition-based-maintenance-calibration,Condition-based-maintenance calibration,AXLE-Connected-Factory-01,Asset Maintenance,,CBM threshold calibration from historical failure signatures.,+14% predictive accuracy,Catalog,
